Jul 20 19:59:40 <ria>	arpita, ok?
Jul 20 19:59:58 <ria>	i mean press '/'
Jul 20 20:00:11 <ria>	did you get last trade?
Jul 20 20:00:14 <ria>	arpita, ?
Jul 20 20:00:30 <kishanGoyal>	yes...got it
Jul 20 20:00:33 <amrita>	ria, !
Jul 20 20:00:43 <ria>	amrita, ask
Jul 20 20:01:06 <ria>	arpita, should i proceed?
Jul 20 20:01:06 <amrita>	ria, on going to the link we are able to see the last trade value
Jul 20 20:01:12 <sunny_slls>	ria,!
Jul 20 20:01:13 <ria>	ya
Jul 20 20:01:23 <arpita>	ria,i can't see the value
Jul 20 20:01:39 <ria>	arpita, no need to see the value
Jul 20 20:01:43 <ria>	sunny_slls, wait
Jul 20 20:01:43 <amrita>	so view->view page source means?
Jul 20 20:01:58 <sunny_slls>	!
Jul 20 20:01:58 *	Debashree has quit (Read error: 110 (Connection timed out))
Jul 20 20:02:03 <ria>	above you will view
Jul 20 20:02:06 <kushal>	amrita, means to show the HTML source code, like you see the .c file to show C source code 
Jul 20 20:02:06 <arpita>	ria, i got the place where last trade is written and there details of page desgn portion of last trade is given
Jul 20 20:02:07 <ria>	sunny_slls, yes
Jul 20 20:02:20 <ria>	arpita, ya ok fine
Jul 20 20:02:40 <ria>	ok now arpita see the program
Jul 20 20:02:44 <sunny_slls>	i did not understand the last trade
Jul 20 20:02:55 <kushal>	sunny_slls, that is what I asked to fetch from the page 
Jul 20 20:02:56 <ria>	you were absent last class
Jul 20 20:03:13 <ria>	kushal, please explain him the question first
Jul 20 20:03:13 *	makghosh (n=joy@117.201.97.71) has joined #dgplug
Jul 20 20:03:15 <sunny_slls>	yes
Jul 20 20:03:19 <kushal>	sunny_slls, try to present in the sessions or else you will not understand many things 
Jul 20 20:03:28 <ria>	arpita, in the program
Jul 20 20:03:56 <ria>	10th line will find 'last trade'
Jul 20 20:04:02 <ria>	which you did manually now
Jul 20 20:04:15 <ria>	as data means the page source
Jul 20 20:04:16 <sunny_slls>	kushal, ok
Jul 20 20:04:24 <ria>	arpita, up to this ok?
Jul 20 20:04:27 <ria>	clear?
Jul 20 20:04:38 <arpita>	ria, just by writing data='last trade' we have value of last trade in data??
Jul 20 20:04:49 <ria>	no no
Jul 20 20:04:58 <ria>	i am not talking about the value
Jul 20 20:04:58 <sunny_slls>	but please explain the question?
Jul 20 20:05:15 <ria>	x = data.find('Last Trade:')
Jul 20 20:05:26 <ria>	when you do this
Jul 20 20:05:36 <ria>	the string last trade is found
Jul 20 20:05:44 <ria>	from the page source
Jul 20 20:06:00 <arpita>	ria, o.k only the string last trade is found on doing so not the value?
Jul 20 20:06:08 <kushal>	sunny_slls, from finance.yahoo.com you have to fetch the last trade value for any given company 
Jul 20 20:06:16 <ria>	ya arpita
Jul 20 20:06:22 <sunny_slls>	kushal, !
